"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
report_id,report,,text,report_id,,,integer,,,,,,,,,,
project_id,report,,sql,project_id,"SELECT project_id, CONCAT(project_id, ' (', app_title, ')') FROM redcap_projects ORDER BY project_id",,,,,,,,,,,,
deleted,report,,descriptive,"<div class=""red"" style=""text-align:center;"">Report is deleted</div>",,,,,,,[project_id]='26',,,,,,
title,report,,text,title,,,,,,,,,,,,,
report_order,report,,text,report_order,,,integer,,,,,,,,,,
user_access,report,,text,user_access,,"ALL or SELECTED",,,,,,,,,,,
user_access_dags,report,,notes,user_access_dags,,,,,,,,,,,,,
user_access_roles,report,,notes,user_access_roles,,,,,,,,,,,,,
user_access_users,report,,notes,user_access_users,,,,,,,,,,,,,
fields,report,,notes,fields,,,,,,,,,,,,,
output_dags,report,,text,output_dags,,"""on"" or blank",,,,,,,,,,,
output_survey_fields,report,,text,output_survey_fields,,"""on"" or blank",,,,,,,,,,,
output_schedule_dates,report,,notes,"Output schedule dates",,,,,,,,,,,,,
output_survey_urls,report,,notes,"Output survey urls",,,,,,,,,,,,,
limiter_fields,report,,notes,limiter_fields,,,,,,,,,,,,,
advanced_logic,report,,notes,advanced_logic,,,,,,,,,,,,,
filter_dags,report,,notes,filter_dags,,,,,,,,,,,,,
orderby_field1,report,,text,orderby_field1,,,,,,,,,,,,,
orderby_sort1,report,,text,orderby_sort1,,"ASC or DESC",,,,,,,,,,,
orderby_field2,report,,text,orderby_field2,,,,,,,,,,,,,
orderby_sort2,report,,text,orderby_sort2,,"ASC or DESC",,,,,,,,,,,
orderby_field3,report,,text,orderby_field3,,,,,,,,,,,,,
orderby_sort3,report,,text,orderby_sort3,,"ASC or DESC",,,,,,,,,,,
update_by,report,,text,update_by,,,,,,,,,,,,,
update_at,report,,text,update_at,,,datetime_seconds_dmy,,,,,,,,,,
